File: example_cpu_10_task_30_0.dat
Max time: 60 seconds

alpha = 0.1

  Elap. Time (s)   Obj. Value     Iterations
      0.00001812          inf              0
      0.00325823   0.94261037              1
      0.00659847   0.94221385              2
      0.01291084   0.93652961              4
     60.00223112   0.93652961          21563

alpha = 0.2

  Elap. Time (s)   Obj. Value     Iterations
      0.00001907          inf              0
      0.00333190   0.94261037              1
      0.02552462   0.94221385              8
      0.03924561   0.93652961             13
     60.00036311   0.93652961          21940

alpha = 0.3

  Elap. Time (s)   Obj. Value     Iterations
      0.00001812          inf              0
      0.00322223   0.94261037              1
      0.00946498   0.93033976              3
      0.20007086   0.93004841             69
      2.09173346   0.92702440            728
     60.00176167   0.92702440          20825

alpha = 0.4

  Elap. Time (s)   Obj. Value     Iterations
      0.00002122          inf              0
      0.00299406   0.94261037              1
      0.01401711   0.93094195              5
      0.03050876   0.92712898             11
      0.09028912   0.92361324             33
      0.47461700   0.91987693            175
      1.10816002   0.91657513            409
      3.98664331   0.91623190           1463
     28.99947071   0.91160764          10645
     37.52119136   0.90424444          13711
     60.00091934   0.90424444          21891

alpha = 0.5

    Elap. Time (s)   Obj. Value     Iterations
        0.00002146          inf              0
        0.00315142   0.94261037              1
        0.01245928   0.93573264              4
        0.04109597   0.93468676             14
        0.04697156   0.92895637             16
        0.52543473   0.92179408            189
        2.22879171   0.91817730            792
        4.16556334   0.91016457           1490
       32.49064875   0.90821918          11487
       60.00274372   0.90821918          21446

alpha = 0.6

Elap. Time (s)   Obj. Value     Iterations
    0.00002098          inf              0
    0.00340319   0.94261037              1
    0.03041768   0.93690576             10
    0.15622568   0.93183196             56
    0.42730093   0.92661379            155
    0.44451475   0.92361324            161
    2.65272570   0.92121540            968
    8.82685804   0.91866457           3242
   10.53161263   0.91269463           3873
   60.00109005   0.91269463          22154

alpha = 0.7

  Elap. Time (s)   Obj. Value     Iterations
      0.00001812          inf              0
      0.00298166   0.94261037              1
      0.02956986   0.93885489             11
      0.21711707   0.93346201             82
      0.88368988   0.93033976            333
      1.03520536   0.92436479            391
      1.10072136   0.92383591            416
      3.63758969   0.92212401           1383
      3.94833684   0.92118036           1502
     16.54101515   0.91347965           6336
     37.17307234   0.91347442          14247
     60.00285482   0.91347442          22649

alpha = 0.8

  Elap. Time (s)   Obj. Value     Iterations
      0.00001979          inf              0
      0.00308990   0.94261037              1
      0.76980567   0.93877255            297
      0.95749474   0.93084599            369
      1.11171627   0.93004841            427
      1.30248475   0.93003981            499
      2.02454805   0.92813199            773
      3.69924688   0.92649077           1411
      4.01286530   0.92199084           1530
      5.02665830   0.91987693           1920
      6.57483983   0.91212844           2516
     60.00233698   0.91212844          22776

alpha = 0.9

  Elap. Time (s)   Obj. Value     Iterations
      0.00002027          inf              0
      0.00373578   0.94261037              1
      0.26836872   0.93806227            100
      0.43828058   0.93054696            165
      0.70049191   0.91781536            264
     56.96897030   0.91501875          21838
     60.00009704   0.91501875          22998
